id,name,alternate_roles,keywords
245,Netsuite,"NetSuite Administrator, NetSuite Consultant, NetSuite Functional Consultant, NetSuite Developer, NetSuite Business Analyst, NetSuite Systems Administrator, NetSuite Technical Consultant, NetSuite Techno-Functional Consultant, NetSuite ERP Consultant, NetSuite Implementation Consultant, NetSuite Integration Consultant, NetSuite Application Analyst, NetSuite Solutions Architect, NetSuite Architect, NetSuite Platform Engineer","NetSuite, Oracle NetSuite, NetSuite ERP, SuiteScript, SuiteScript 2.0, SuiteFlow, SuiteAnalytics, SuiteBuilder, Saved Searches, NetSuite Configuration, NetSuite Customization, ERP Implementation, Financial Modules, General Ledger, Accounts Payable, Accounts Receivable, Revenue Recognition, Inventory Management, Order Management, CRM, NetSuite Reporting, SuiteCloud, RESTlet, SOAP, NetSuite API, Data Migration, Workflow Automation, ERP Systems, SaaS ERP, NetSuite OneWorld, Business Systems"
246,Atlassian Engineer / Jira,"Atlassian, Jira","Atlassian, Jira, Jira Administrator, Jira Admin, Jira Developer, Jira Engineer, Confluence, Bitbucket, Jira Service Management, JSM, Jira Cloud, Jira Data Center, Jira Server, Workflow Configuration, Workflow Automation, Jira Customization, Groovy, ScriptRunner, Atlassian API, REST API, Plugin Development, Jira Integration, Service Desk, Agile Boards, Scrum, Kanban, Atlassian Access, User Provisioning, Permission Schemes, Issue Types, Dashboards, SLA Management, ITSM (Jira), Automation for Jira, Atlassian Marketplace Apps, Jira Administrator, Atlassian Engineer, Jira Engineer, Atlassian Administrator, Jira Developer, Atlassian Consultant, Jira Systems Administrator, Jira Platform Engineer, Atlassian Platform Engineer, Jira Configuration Specialist, Jira Service Management Administrator, JSM Administrator, Senior Jira Administrator, Atlassian Solutions Engineer, Jira Integration Engineer, Atlassian SME, Jira Support Engineer"
250,RTL Design Engineer,"RTL Engineer, Digital Design Engineer, ASIC Design Engineer, FPGA Design Engineer, VLSI Design Engineer, Hardware Design Engineer, SoC Design Engineer, Logic Design Engineer","RTL Design Engineer, RTL Engineer, Register Transfer Level, Verilog, SystemVerilog, VHDL, ASIC Design, FPGA Design, Digital Design, VLSI, SoC, Logic Design, Synthesis, Static Timing Analysis, STA, Design Constraints, UVM, Testbench Development, Simulation, ModelSim, Questa, Synopsys, Cadence, Xilinx, Intel FPGA, Design Verification, Hardware Description Language, HDL, Low Power Design, Clock Domain Crossing, CDC, Microarchitecture, Silicon Design, RTL Design Engineer, RTL Engineer, Digital Design Engineer, ASIC Design Engineer, FPGA Design Engineer, VLSI Design Engineer, SoC Design Engineer, Hardware Design Engineer, Logic Design Engineer, Senior RTL Engineer, ASIC RTL Engineer, FPGA RTL Engineer, Digital IC Design Engineer, Microarchitecture Engineer, Semiconductor Design Engineer"
251,Chemical Engineer,"Process Engineer, Production Engineer (Chemical), Plant Engineer, Manufacturing Engineer (Chemical), Refinery Engineer, Industrial Chemical Engineer","Chemical Engineer, Process Engineer, Chemical Process, Process Design, Process Optimization, Process Simulation, Aspen HYSYS, Aspen Plus, CHEMCAD, MATLAB, Heat Transfer, Mass Transfer, Thermodynamics, Reaction Engineering, Distillation, Refinery Operations, Petrochemical, Oil & Gas, Manufacturing Plant, Chemical Manufacturing, Process Safety, HAZOP, PFD, P&ID, Plant Operations, Production Optimization, Quality Control (Chemical), Environmental Compliance, Waste Treatment, Polymer Processing, Industrial Chemistry, Scale-Up, Chemical Plant Design,Chemical Engineer, Process Engineer, Chemical Process Engineer, Production Engineer (Chemical), Plant Engineer, Process Development Engineer, Refinery Engineer, Manufacturing Engineer (Chemical), Industrial Chemical Engineer, Process Design Engineer, Senior Process Engineer, Operations Engineer (Chemical), Environmental Process Engineer, Petrochemical Engineer, Chemical Plant Engineer"
252,Design Verification Engineer,"Verification Engineer, ASIC Verification Engineer, SoC Verification Engineer, Digital Verification Engineer, VLSI Verification Engineer, FPGA Verification Engineer, Pre-Silicon Verification Engineer","Design Verification Engineer, Verification Engineer, DV Engineer, ASIC Verification, SoC Verification, VLSI Verification, UVM, SystemVerilog, Verilog, VHDL, Testbench Development, Functional Verification, Constrained Random Verification, Coverage Analysis, Code Coverage, Functional Coverage, Assertion-Based Verification, SVA, Simulation, ModelSim, Questa, VCS, Xcelium, Cadence, Synopsys, FPGA Verification, Pre-Silicon Validation, Regression Testing (Hardware), Debugging, Protocol Verification, AMBA, AXI, PCIe, DDR, CDC Verification, Formal Verification, Emulation, Hardware Verification, Design Verification Engineer, Verification Engineer, ASIC Verification Engineer, SoC Verification Engineer, DV Engineer, Digital Verification Engineer, VLSI Verification Engineer, FPGA Verification Engineer, Pre-Silicon Verification Engineer, Hardware Verification Engineer, UVM Verification Engineer, Senior Verification Engineer, Verification Lead, Silicon Verification Engineer, IC Verification Engineer"
254,Game UI / Interactive UI Designer,"Game UI Designer, Technical UI Designer, UI Artist – Games, Unreal UMG Designer, Unity UI Systems Designer, AR/VR UI Designer, Simulation UI Designer, UI/UX Designer, Interactive Interface Designer, Digital Experience Designer, UI Designer (Digital Experiences), UI/UX Designer – Interactive Systems, UI Artist","Game UI, Game UI Designer, UI Artist, UI/UX Designer, Interactive UI, Unreal Engine, Unity, Unreal UMG, Unity UI Toolkit, Unity Canvas, AR/VR UI, VR Interface Design, XR UI, Simulation UI, HUD Design, In-Game UI, User Interface Design, UX Design, Wireframing, Prototyping, Figma, Adobe XD, Photoshop, Illustrator, Motion UI, Interaction Design, Game Development, Blueprint UI (Unreal), C# (Unity UI), UI Animation, UI Implementation, Player Experience, UI Systems, UI Frameworks, Mobile Game UI, Console UI, PC Game UI, Interactive Systems, Real-Time UI, Game UI Designer, UI Artist, UI/UX Designer (Games), Technical UI Designer, Unreal UMG Designer, Unity UI Designer, Unity UI Systems Designer, AR/VR UI Designer, Simulation UI Designer, Interactive Interface Designer, Digital Experience Designer, UI Designer (Digital Experiences), UI/UX Designer – Interactive Systems, UI Implementation Designer, XR UI Designer, Gameplay UI Designer, Senior Game UI Designer, Lead UI Artist"
259,Full Stack Cloud Engineer,"Cloud Software Engineer, Full Stack Engineer, Cloud Developer, Frontend Cloud Engineer, Backend Cloud Engineer, Platform Engineer (Cloud Applications)","Full Stack Cloud Engineer, Full Stack Developer, Cloud Developer, Cloud Software Engineer, Cloud Application Development, Cloud-Native Applications, AWS, Azure, Google Cloud, GCP, Microservices, REST APIs, GraphQL, Node.js, Java, Python, Spring Boot, Express.js, React, Angular, Vue.js, TypeScript, Docker, Kubernetes, Serverless, Lambda, API Gateway, Cloud Functions, Terraform, Infrastructure as Code, CI/CD, GitHub Actions, Jenkins, DevOps, Distributed Systems, Scalable Systems, Cloud Databases, PostgreSQL, MongoDB, Redis, Authentication, OAuth, Cloud Security, Full Stack Cloud Engineer, Cloud Software Engineer, Full Stack Developer (Cloud), Cloud Application Engineer, Cloud-Native Developer, Backend Cloud Engineer, Full Stack Engineer, Cloud Platform Engineer, Senior Cloud Application Developer, Cloud Systems Developer, Microservices Engineer, Cloud Solutions Developer, Cloud Integration Engineer"
261,SAP SD,"SAP SD Consultant, SAP SD Functional Consultant, SAP Sales and Distribution Consultant, SAP SD Analyst, SAP Business Analyst (SAP SD), SAP Order to Cash Consultant, SAP OTC Consultant, SAP QTC Consultant, SAP S/4HANA SD Consultant, SAP S/4 Order to Cash Consultant, SAP SD Techno-Functional Consultant, SAP SD Integration Consultant","SAP SD, SAP Sales and Distribution, Order to Cash, Quote to Cash, SAP S/4HANA SD, SAP ERP, SAP SD Configuration, Pricing Configuration, Sales Order Processing, Order Management, Billing, Invoicing, Shipping, Delivery Processing, Contract Management, Revenue Recognition, Customer Master Data, Pricing Engine, SAP CPQ, SAP BRIM, Subscription Billing, SAP Integration, EDI, IDoc, API Integration, SAP CRM, SAP Commerce, Cross-module Integration"
263,Data Science Internships,"Machine Learning, Generative AI, Machine Learning Engineer","Data Scientist, Data Science, Machine Learning, ML, Artificial Intelligence, AI, Data Platform Engineer, Data Mining Specialist, Data Specialist, Generative AI, Agentic AI"
264,Credit Risk Analyst,"Credit Analyst, Risk Analyst (Credit), Credit Underwriter, Credit Portfolio Analyst,, Risk Modeling Analyst (Credit)","Credit Risk Analyst, Credit Analyst, Credit Risk, Credit Underwriter, Credit Risk Associate, Credit Portfolio Analyst, Lending Analyst, Loan Analyst, Risk Analyst (Credit), Wholesale Credit Analyst, Retail Credit Analyst, Credit Risk Modeling, Risk Modeling Analyst, Credit Risk Consultant, Credit Risk Specialist, Credit Risk Manager, Credit Risk Officer, Credit Risk SME, Credit Risk Quant Analyst, Credit Risk Data Analyst, Credit Risk Analyst, Credit Analyst, Credit Underwriter, Credit Risk Associate, Credit Portfolio Analyst, Lending Analyst, Loan Analyst, Wholesale Credit Analyst, Retail Credit Analyst, Risk Analyst (Credit), Credit Risk Consultant, Credit Risk Specialist, Credit Risk Manager, Credit Risk Officer, Credit Risk Quant Analyst, Credit Risk Data Analyst, Senior Credit Risk Analyst"
265,Market Research Analyst,"Market Analyst, Consumer Insights Analyst, Marketing Analyst, Business Research Analyst, Industry Analyst, Insights Analyst, Market Intelligence Analyst, Competitive Intelligence Analyst, Customer Insights Analyst","Market Research Analyst, Market Analyst, Research Analyst, Consumer Insights Analyst, Insights Analyst, Market Intelligence Analyst, Competitive Intelligence Analyst, Customer Insights Analyst, Business Research Analyst, Industry Analyst, Marketing Analyst (Research), Market Research Executive, Market Research Associate, Research Executive, Research Specialist, Market Intelligence Specialist, Consumer Research Analyst, Strategic Research Analyst"
268,SAP BTP / CPI Consultant,"SAP BTP, SAP CPI, SAP Integration Consultant, SAP Cloud Platform Integration Consultant, SAP Integration Developer, SAP Middleware Consultant, SAP PI/PO Consultant (Migration), SAP Cloud Integration Developer, SAP API Integration Consultant","SAP BTP, SAP Business Technology Platform, SAP CPI, SAP Cloud Platform Integration, SAP Integration Consultant, SAP Integration Developer, SAP Middleware Consultant, SAP PI/PO, SAP PI/PO Migration, SAP Cloud Integration, SAP API Management, SAP Integration Suite, SAP BTP Developer, SAP Cloud Platform, SAP API Integration, SAP OData, SAP REST API, SAP SOAP, SAP Integration Flow, iFlow, SAP Event Mesh, SAP BTP Integration, SAP Data Integration, SAP Connectivity, SAP Cloud Connector, SAP Extension Suite, SAP CAP, SAP Kyma, SAP Integration Specialist, SAP Interface Developer, SAP BTP Consultant, SAP CPI Consultant, SAP Integration Consultant, SAP Cloud Platform Integration Consultant, SAP Integration Developer, SAP Middleware Consultant, SAP PI/PO Consultant, SAP BTP Developer, SAP Integration Specialist, SAP API Integration Consultant, SAP Cloud Integration Developer, SAP Integration Architect, SAP CPI Developer, SAP BTP Integration Consultant, SAP Interface Developer, SAP Integration Lead"
269,Controls Software Engineer,"Controls Engineer, Automation Engineer, PLC Programmer, Embedded Controls Engineer, Robotics Controls Engineer, Mechatronics Engineer, SCADA Engineer, Industrial Software Engineer, SCADA Developer, HMI Developer, HMI Engineer, Manufacturing Software Engineering Systems Engineer","Controls Software Engineer, Controls Engineer, Automation Engineer, Industrial Automation Engineer, Control Systems Engineer, PLC Programmer, PLC Engineer, SCADA Engineer, Robotics Controls Engineer, Embedded Controls Engineer, Mechatronics Engineer, Industrial Software Engineer, PLC Programming Engineer, Automation Software Engineer, Control Systems Software Engineer, Process Control Engineer, Manufacturing Automation Engineer, Industrial Controls Engineer, Control Systems Developer, Controls Software Engineer, Controls Engineer, Automation Engineer, Industrial Automation Engineer, Control Systems Engineer, PLC Programmer, PLC Engineer, SCADA Engineer, Robotics Controls Engineer, Embedded Controls Engineer, Mechatronics Engineer, Industrial Software Engineer, Automation Software Engineer, Control Systems Software Engineer, Manufacturing Automation Engineer, Process Control Engineer, Industrial Controls Engineer"
270,Data Centre Network Engineer,"Network Engineer, Infrastructure Network Engineer, Network Operations Engineer, Cloud Network Engineer, Network Infrastructure Engineer, Data Center Engineer, Site Reliability Engineer (Networking), NOC Engineer, Network Support Engineer, Systems Engineer (Networking), DevOps Engineer (Networking-focused)","Data Center Networking, TCP/IP, Routing and Switching, VLAN, Subnetting, Cisco (CCNA, CCNP), BGP, OSPF, MPLS, VPN, Load Balancing, Network Security, Firewalls, Spine-Leaf Architecture, Network Fabric, Clos Architecture, SDN (Software Defined Networking), AWS VPC, Azure Networking, Hybrid Cloud Networking, Network Monitoring, Troubleshooting, High Availability, Scalability"
271,Power Apps,"Power platform, power automate, Dynamic 365, CRM, Microsoft developer, Microsoft system Administrator, Microsoft Dynamic consultant, power Apps developer, Power Bi developer, Microsoft Business Applications Developer, Power Platform Functional Consultant, Power Platform Technical Consultant","Power Apps, Power Platform, Power Automate, Power Apps Developer, Power Platform Developer, Power Automate Developer, Power Platform Consultant, Power Platform Engineer, Power Platform Specialist, Microsoft Power Platform, Dynamics 365 Developer, Dynamics 365 Consultant, Dynamics CRM Developer, CRM Developer (Dynamics 365), Microsoft Business Applications Developer, Power Platform Functional Consultant, Power Platform Technical Consultant, Power Apps Consultant, Power Automate Consultant, Power Platform Analyst, Power Platform Administrator, Power Platform Architect, Power Platform Lead, Dynamics 365 Functional Consultant, Dynamics 365 Technical Consultant, CRM Consultant (Dynamics), Power Platform Support Engineer"
275,Pega Developer,"Pega Consultant, Pega System Architect, Pega SSA, Pega LSA, Pega BPM, Pega Application Developer, Pega Engineer, Pega Architect","Pega, Pega Developer, Pega Consultant, Pega Engineer, Pega Application Developer, Pega System Architect, Pega SSA, Pega LSA, Pega BPM Developer, Pega BPM Consultant, Pega Decisioning Developer, Pega Architect, Pega Technical Consultant, Pega Platform, Pegasystems, Pega PRPC, Pega CDH, Pega Customer Decision Hub, Pega Robotics, Pega RPA Developer, Pega Business Process Developer, BPM Developer (Pega), Pega Integration Developer, Pega API Developer, Pega Rules Developer, Pega Workflow Developer, Pega Case Management Developer, Pega UI Developer, Senior Pega Developer, Lead Pega Developer"
280,Healthcare Business Analyst,"Healthcare Business Analyst, Clinical Business Analyst, Healthcare Operations Business Analyst, Hospital Business Analyst, Clinical Process Analyst, Healthcare Process Analyst, Healthcare Functional Analyst, Clinical Workflow Analyst, Healthcare Quality Analyst, Revenue Cycle Business Analyst, RCM Business Analyst, Medical Billing Business Analyst, Claims Business Analyst, Denials Business Analyst, Clinical Documentation Analyst, HIM Business Analyst, Patient Flow Analyst, Care Coordination Analyst, Utilization Review Analyst","Healthcare Business Analysis, Clinical Workflow Analysis, Healthcare Operations Analysis, Hospital Operations, Requirement Gathering, BRD, FRD, Use Cases, User Stories, Gap Analysis, Stakeholder Management, Process Mapping, Process Improvement, Workflow Optimization, Healthcare Processes, Patient Care Process, Revenue Cycle Management, RCM, Medical Billing, Claims Analysis, Denial Management, Accounts Receivable, Payment Posting, Charge Entry, Clinical Documentation, Medical Records, Health Information Management, ICD-10 Coding, CPT Coding, HIPAA, Healthcare Compliance, Patient Data Privacy, Clinical Audit, Patient Registration, Admission Discharge Transfer, ADT, Appointment Scheduling, Care Coordination, Clinical Pathways, Reporting, Excel"
